best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_P@50,test_P@N2,test_PR-AUC,test_accuracy,test_macro-F1,val_AUC-ROC,val_P@50,val_P@N2,val_PR-AUC,val_accuracy,val_macro-F1,wall_time_sec
1,12,accuracy,ddibn,94545,42,S2,0.50852,0.502488,0.49629,0.542043,0.500898,0.335925,0.528769,0.510813,0.525893,0.531591,0.50346,0.345793,75.6
7,12,accuracy,ddibn,94545,124,S0,0.959154,0.973589,0.886664,0.963736,0.888256,0.887634,0.963481,0.974833,0.9012,0.968572,0.901754,0.902859,74.0
5,12,accuracy,ddibn,94545,124,S1,0.861419,0.9511,0.76889,0.860143,0.770291,0.74692,0.859188,0.943062,0.765866,0.859795,0.772261,0.745758,74.0
1,12,accuracy,ddibn,94545,124,S2,0.486443,0.499426,0.488203,0.517619,0.495144,0.393335,0.501234,0.504976,0.514962,0.514227,0.499089,0.403177,74.0
,v1zs_gemma27b,AUC-ROC(LLM-zs),ddibn,,,S1,0.502256,0.502419,0.502256,,,,7768.0
48,13,accuracy,ddibn,158289,0,S0,0.983453,0.992344,0.935254,0.985833,0.938549,0.937542,0.982171,0.986794,0.938314,0.985016,0.940801,0.940244,353.4
75,13,accuracy,ddibn,158289,0,S1,0.836821,0.878852,0.75309,0.818345,0.752426,0.747501,0.850116,0.918278,0.76772,0.838208,0.765604,0.755098,353.4
59,13,accuracy,ddibn,158289,0,S2,0.395069,0.487081,0.418544,0.454982,0.41962,0.218975,0.461364,0.495981,0.468575,0.498142,0.489335,0.279034,353.4
32,13,accuracy,ddibn,158289,42,S0,0.982712,0.992249,0.935879,0.985313,0.934007,0.934573,0.981868,0.986699,0.940066,0.984748,0.940131,0.940419,221.1
44,13,accuracy,ddibn,158289,42,S1,0.839302,0.866411,0.756299,0.812881,0.756078,0.757734,0.85273,0.90823,0.774786,0.834421,0.774099,0.77075,221.1
29,13,accuracy,ddibn,158289,42,S2,0.391593,0.485167,0.41436,0.450833,0.423253,0.202995,0.432453,0.489378,0.440534,0.483569,0.480201,0.265801,221.1
29,13,accuracy,ddibn,158289,124,S0,0.983384,0.992249,0.939427,0.985972,0.941209,0.939231,0.982606,0.987943,0.939747,0.985922,0.941386,0.939933,192.4
36,13,accuracy,ddibn,158289,124,S1,0.826255,0.848134,0.751563,0.799739,0.746231,0.738871,0.838468,0.891866,0.757629,0.820289,0.754502,0.740611,192.4
1,13,accuracy,ddibn,158289,124,S2,0.434849,0.491675,0.450309,0.488213,0.477277,0.42234,0.472744,0.493493,0.475158,0.517362,0.487592,0.429123,192.4
44,14,accuracy,ddibn,158289,0,S0,0.983265,0.991675,0.939606,0.985394,0.940375,0.93971,0.982369,0.986124,0.940633,0.985267,0.94106,0.940604,230.7
47,14,accuracy,ddibn,158289,0,S1,0.856977,0.919522,0.777496,0.850753,0.776556,0.774797,0.840345,0.929282,0.759277,0.836892,0.759603,0.756019,230.7
